DATE,open,high,low,close,tick_volume,spread
2025-02-06 10:00:00,152.582,152.698,152.451,152.641,3225,3
2025-02-06 11:00:00,152.641,152.894,152.54,152.663,3051,3
2025-02-06 12:00:00,152.663,152.68,152.507,152.53,2760,3
2025-02-06 13:00:00,152.54,152.542,152.357,152.423,2926,4
2025-02-06 14:00:00,152.423,152.468,152.266,152.379,3771,3
2025-02-06 15:00:00,152.379,152.529,152.054,152.079,3876,4
2025-02-06 16:00:00,152.071,152.211,151.86,152.109,3868,3
2025-02-06 17:00:00,152.109,152.153,151.66,151.687,4143,3
2025-02-06 18:00:00,151.69,152.045,151.668,152.043,3547,4
2025-02-06 19:00:00,152.043,152.059,151.851,151.866,2768,3
2025-02-06 20:00:00,151.867,151.878,151.31,151.33,3069,3
2025-02-06 21:00:00,151.324,151.432,151.234,151.387,2662,3
2025-02-06 22:00:00,151.387,151.536,151.356,151.529,1800,4
2025-02-06 23:00:00,151.529,151.536,151.378,151.383,941,4
2025-02-07 00:00:00,151.366,151.477,151.342,151.444,325,24
2025-02-07 01:00:00,151.432,151.44,151.154,151.168,1799,4
2025-02-07 02:00:00,151.164,151.267,150.959,151.219,3178,4
2025-02-07 03:00:00,151.218,151.661,151.213,151.571,3383,4
2025-02-07 04:00:00,151.574,151.734,151.544,151.606,2849,4
2025-02-07 05:00:00,151.601,151.733,151.448,151.583,2377,4
2025-02-07 06:00:00,151.582,151.713,151.542,151.678,1851,4
2025-02-07 07:00:00,151.682,151.735,151.616,151.685,684,4
